# time (s)	h_+ (strain)	h_x (strain)
-2.907047980	5.786830007514093377e-20	-1.468926825809880733e-20
-2.906986945	5.797986565334100952e-20	-1.424380017122071760e-20
-2.906925910	5.808800276487341707e-20	-1.379748146034133881e-20
-2.906864875	5.819270489829185266e-20	-1.335033850679361549e-20
-2.906803839	5.829396574511093787e-20	-1.290239774195890692e-20
-2.906742804	5.839177920019229633e-20	-1.245368564570571391e-20
-2.906681769	5.848613936211893045e-20	-1.200422874482574249e-20
-2.906620734	5.857704053355734439e-20	-1.155405361146669494e-20
-2.906559699	5.866447722160787070e-20	-1.110318686156234649e-20
-2.906498664	5.874844413814268310e-20	-1.065165515326010629e-20
-2.906437628	5.882893620013188045e-20	-1.019948518534570451e-20
-2.906376593	5.890594852995730502e-20	-9.746703695665527689e-21
-2.906315558	5.897947645571443201e-20	-9.293337459546239782e-21
-2.906254523	5.904951551150183681e-20	-8.839413288212540395e-21
-2.906193488	5.911606143771043359e-20	-8.384958027204155711e-21
-2.906132453	5.917911018144857615e-20	-7.929998554813363122e-21
-2.906071418	5.923865789675496951e-20	-7.474561780483485691e-21
-2.906010382	5.929470094471257660e-20	-7.018674643194818407e-21
-2.905949347	5.934723589367387988e-20	-6.562364109871293560e-21
-2.905888312	5.939625951947685025e-20	-6.105657173785695636e-21
-2.905827277	5.944176880564903551e-20	-5.648580852963540110e-21
-2.905766242	5.948376094359888941e-20	-5.191162188585055643e-21
-2.905705207	5.952223333279541277e-20	-4.733428243385678947e-21
-2.905644171	5.955718358093475850e-20	-4.275406100055446763e-21
-2.905583136	5.958860950409514852e-20	-3.817122859636741008e-21
-2.905522101	5.961650912687918802e-20	-3.358605639921036362e-21
-2.905461066	5.964088068254380550e-20	-2.899881573844326024e-21
-2.905400031	5.966172261311801134e-20	-2.440977807881853085e-21
-2.905338996	5.967903356950807771e-20	-1.981921500441626913e-21
-2.905277961	5.969281241159063313e-20	-1.522739820257099381e-21
-2.905216925	5.970305820825396169e-20	-1.063459944776558561e-21
-2.905155890	5.970977023721660449e-20	-6.041090585396411516e-22
-2.905094855	5.971294798524259437e-20	-1.447143515885637500e-22
-2.905033820	5.971259114831305625e-20	3.146969821302552622e-22
-2.904972785	5.970869963165826184e-20	7.740977463758771058e-22
-2.904911750	5.970127354977645559e-20	1.233460744223142910e-21
-2.904850714	5.969031322644049916e-20	1.692758779673144986e-21
-2.904789679	5.967581919469199735e-20	2.151964659263463512e-21
-2.904728644	5.965779219682311007e-20	2.611051193678714217e-21
-2.904667609	5.963623318434583374e-20	3.069991199360788123e-21
-2.904606574	5.961114331794905313e-20	3.528757500119075679e-21
-2.904545539	5.958252396744317079e-20	3.987322928740034506e-21
-2.904484503	5.955037671169215788e-20	4.445660328596670613e-21
-2.904423468	5.951470333856252906e-20	4.903742555260641070e-21
-2.904362433	5.947550584505885570e-20	5.361542478137756349e-21
-2.904301398	5.943278643709510990e-20	5.819032982070533842e-21
-2.904240363	5.938654752924322227e-20	6.276186968932618837e-21
-2.904179328	5.933679174460209463e-20	6.732977359234728726e-21
-2.904118293	5.928352191465521357e-20	7.189377093729334073e-21
-2.904057257	5.922674107911604647e-20	7.645359135014612945e-21
-2.903996222	5.916645248576105132e-20	8.100896469137219591e-21
-2.903935187	5.910265959025022818e-20	8.555962107193474761e-21
-2.903874152	5.903536605593558547e-20	9.010529086929526109e-21
-2.903813117	5.896457575365703951e-20	9.464570474340022010e-21
-2.903752082	5.889029276152621692e-20	9.918059365264967787e-21
-2.903691046	5.881252136469777441e-20	1.037096888698522927e-20
-2.903630011	5.873126605512144742e-20	1.082327219981488417e-20
-2.903568976	5.864653153121844572e-20	1.127494249868008435e-20
-2.903507941	5.855832269764674270e-20	1.172595301471147345e-20
-2.903446906	5.846664466507058977e-20	1.217627701683957905e-20
-2.903385871	5.837150274987122955e-20	1.262588781338083407e-20
-2.903324836	5.827290247384503054e-20	1.307475875362089580e-20
-2.903263800	5.817084956388922341e-20	1.352286322939604955e-20
-2.903202765	5.806534995167562443e-20	1.397017467667200325e-20
-2.903141730	5.795640977331194866e-20	1.441666657712041159e-20
-2.903080695	5.784403536899139902e-20	1.486231245969241194e-20
-2.903019660	5.772823328262970069e-20	1.530708590218986571e-20
-2.902958625	5.760901026149024301e-20	1.575096053283378602e-20
-2.902897589	5.748637325579719614e-20	1.619391003182959517e-20
-2.902836554	5.736032941833856498e-20	1.663590813293144315e-20
-2.902775519	5.723088610408113551e-20	1.707692862502248432e-20
