# time (s)	h_+ (strain)	h_x (strain)	h_abs (strain)	 h_arg (rad)
-1.377628326	-4.563316056966772502e-20	-1.135644435795102026e-19	1.223898206106244393e-19	3.286785119329957752e+02
-1.377567291	-4.475923369928522684e-20	-1.139130546733819665e-19	1.223910659581333160e-19	3.286708242939280353e+02
-1.377506256	-4.388263000028505055e-20	-1.142549458406474018e-19	1.223923112976921707e-19	3.286631365344607616e+02
-1.377445221	-4.300340115701471352e-20	-1.145900965644687722e-19	1.223935567819050475e-19	3.286554486545841769e+02
-1.377384186	-4.212159887693166472e-20	-1.149184863584717624e-19	1.223948021726061292e-19	3.286477606543036813e+02
-1.377323151	-4.123727514393033543e-20	-1.152400954495187711e-19	1.223960475689897876e-19	3.286400725336131359e+02
-1.377262115	-4.035048207090946361e-20	-1.155549043987575430e-19	1.223972930009515350e-19	3.286323842925110057e+02
-1.377201080	-3.946127190604292781e-20	-1.158628941246829272e-19	1.223985384528350536e-19	3.286246959309934255e+02
-1.377140045	-3.856969702337577429e-20	-1.161640458852958333e-19	1.223997838434207239e-19	3.286170074490395336e+02
-1.377079010	-3.767581004120661683e-20	-1.164583416151827160e-19	1.224010293830067589e-19	3.286093188466903712e+02
-1.377017975	-3.677966356089755563e-20	-1.167457632074425617e-19	1.224022748095028856e-19	3.286016301238947221e+02
-1.376956940	-3.588131045267126945e-20	-1.170262933286771746e-19	1.224035202518725270e-19	3.285939412806682185e+02
-1.376895904	-3.498080370280266624e-20	-1.172999150044391134e-19	1.224047657885208928e-19	3.285862523170144414e+02
-1.376834869	-3.407819636214417434e-20	-1.175666114480232118e-19	1.224060112685129497e-19	3.285785632329214536e+02
-1.376773834	-3.317354167351638466e-20	-1.178263664839656696e-19	1.224072567537493620e-19	3.285708740283806719e+02
-1.376712799	-3.226689300172171856e-20	-1.180791643297385695e-19	1.224085022896447374e-19	3.285631847033992585e+02
-1.376651764	-3.135830380754613101e-20	-1.183249895205518942e-19	1.224097478255922092e-19	3.285554952579738597e+02
-1.376590729	-3.044782766671976448e-20	-1.185638269785694983e-19	1.224109932866588266e-19	3.285478056920965173e+02
-1.376529694	-2.953551834915791014e-20	-1.187956623437112419e-19	1.224122389135763475e-19	3.285401160057502352e+02
-1.376468658	-2.862142963932563997e-20	-1.190204812756734446e-19	1.224134845419074046e-19	3.285324261989413799e+02
-1.376407623	-2.770561543824982611e-20	-1.192382698471858451e-19	1.224147300081264624e-19	3.285247362716837642e+02
-1.376346588	-2.678812985526195427e-20	-1.194490149899164320e-19	1.224159756045086529e-19	3.285170462239599942e+02
-1.376285553	-2.586902701955117796e-20	-1.196527036900368666e-19	1.224172212528695981e-19	3.285093560557756973e+02
-1.376224518	-2.494836115471818010e-20	-1.198493233222711802e-19	1.224184668467651723e-19	3.285016657671098983e+02
-1.376163483	-2.402618662542351341e-20	-1.200388618676422083e-19	1.224197124740887755e-19	3.284939753579578223e+02
-1.376102447	-2.310255786163837125e-20	-1.202213075695460984e-19	1.224209580647110873e-19	3.284862848283410131e+02
-1.376041412	-2.217752941659739655e-20	-1.203966492836430570e-19	1.224222037448786934e-19	3.284785941782327541e+02
-1.375980377	-2.125115589436758622e-20	-1.205648760752491577e-19	1.224234494281504170e-19	3.284709034076345233e+02
-1.375919342	-2.032349198706830166e-20	-1.207259774244700286e-19	1.224246950236841631e-19	3.284632125165576895e+02
-1.375858307	-1.939459251315733874e-20	-1.208799435267152808e-19	1.224259407387719124e-19	3.284555215049693402e+02
-1.375797272	-1.846451232467427771e-20	-1.210267646934022416e-19	1.224271864723689799e-19	3.284478303729015352e+02
-1.375736237	-1.753330635140806340e-20	-1.211664317066997077e-19	1.224284321722150159e-19	3.284401391203239200e+02
-1.375675201	-1.660102961875033963e-20	-1.212989358831029886e-19	1.224296779003185849e-19	3.284324477472595731e+02
-1.375614166	-1.566773719735014186e-20	-1.214242688633239296e-19	1.224309236176792204e-19	3.284247562536600071e+02
-1.375553131	-1.473348423968702100e-20	-1.215424227503868538e-19	1.224321693260184871e-19	3.284170646395608060e+02
-1.375492096	-1.379832596381396175e-20	-1.216533901576761322e-19	1.224334151131113162e-19	3.284093729049452008e+02
-1.375431061	-1.286231762819056240e-20	-1.217571639431609574e-19	1.224346608859200285e-19	3.284016810498217751e+02
-1.375370026	-1.192551455660080070e-20	-1.218537374963374069e-19	1.224359066584063883e-19	3.283939890741687577e+02
-1.375308990	-1.098797213642976144e-20	-1.219431047333375683e-19	1.224371525464256021e-19	3.283862969779840455e+02
-1.375247955	-1.004974577536292788e-20	-1.220252596589006063e-19	1.224383983273692740e-19	3.283786047612853167e+02
-1.375186920	-9.110890950465298526e-21	-1.221001969932604326e-19	1.224396440688401931e-19	3.283709124240494930e+02
-1.375125885	-8.171463194388392966e-21	-1.221679120842874774e-19	1.224408900399349488e-19	3.283632199662661151e+02
-1.375064850	-7.231518039781585179e-21	-1.222284001077744474e-19	1.224421359094404388e-19	3.283555273879602510e+02
-1.375003815	-6.291111080673092545e-21	-1.222816570634913978e-19	1.224433817436560551e-19	3.283478346891131991e+02
-1.374942779	-5.350297940675256559e-21	-1.223276793596540455e-19	1.224446275896673424e-19	3.283401418697035865e+02
-1.374881744	-4.409134277713605121e-21	-1.223664638588507942e-19	1.224458735213169583e-19	3.283324489297530704e+02
-1.374820709	-3.467675765222458507e-21	-1.223980076918600537e-19	1.224471194522326987e-19	3.283247558692511348e+02
-1.374759674	-2.525978102012419768e-21	-1.224223084766000906e-19	1.224483653550004673e-19	3.283170626881754970e+02
-1.374698639	-1.584097015017194705e-21	-1.224393643501969423e-19	1.224496112931080875e-19	3.283093693865566820e+02
-1.374637604	-6.420882395842332518e-22	-1.224491737138984136e-19	1.224508571653293072e-19	3.283016759643832074e+02
-1.374576569	2.999924772755337340e-22	-1.224517357165114785e-19	1.224521031892584361e-19	3.282939824216131797e+02
-1.374515533	1.242089369597253207e-21	-1.224470495712801529e-19	1.224533492180332528e-19	3.282862887583042379e+02
-1.374454498	2.184146677268487792e-21	-1.224351151116283484e-19	1.224545952959933111e-19	3.282785949744045411e+02
-1.374393463	3.126108622170705351e-21	-1.224159323052559088e-19	1.224558411725737529e-19	3.282709010699329042e+02
-1.374332428	4.067919443726123492e-21	-1.223895021743060724e-19	1.224570872227292328e-19	3.282632070448728996e+02
-1.374271393	5.009523369839473319e-21	-1.223558256438593248e-19	1.224583332949761643e-19	3.282555128992486857e+02
-1.374210358	5.950864644836022945e-21	-1.223149041892596869e-19	1.224595793592683311e-19	3.282478186330153562e+02
-1.374149322	6.891887517194511159e-21	-1.222667397741248319e-19	1.224608254444792748e-19	3.282401242461958191e+02
-1.374088287	7.832536249615311459e-21	-1.222113347308424207e-19	1.224620715192893784e-19	3.282324297387814909e+02
-1.374027252	8.772755126909752794e-21	-1.221486919117638843e-19	1.224633176435773926e-19	3.282247351107648683e+02
-1.373966217	9.712488445728549114e-21	-1.220788145185391290e-19	1.224645637972890904e-19	3.282170403621678361e+02
-1.373905182	1.065168053314909973e-20	-1.220017061676684987e-19	1.224658099471129615e-19	3.282093454929392351e+02
-1.373844147	1.159027572875027253e-20	-1.219173708769304339e-19	1.224670560314546850e-19	3.282016505031125462e+02
-1.373783112	1.252821844031860500e-20	-1.218258134307097025e-19	1.224683023289799291e-19	3.281939553926767985e+02
-1.373722076	1.346545304117075579e-20	-1.217270383575674626e-19	1.224695484310637766e-19	3.281862601616258530e+02
-1.373661041	1.440192401092354156e-20	-1.216210513115333373e-19	1.224707946301445339e-19	3.281785648099540822e+02
